player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,prog_carries_p90,prog_passes_p90,prog_receptions_p90,key_passes_p90,xa_p90,tackles_won_p90,interceptions_p90,clearances_p90,carries_p90,touches_p90,goals_zscore,assists_zscore,xg_zscore,xag_zscore,npxg_zscore,prog_carries_zscore,prog_passes_zscore,prog_receptions_zscore,key_passes_zscore,xa_zscore,tackles_won_zscore,interceptions_zscore,clearances_zscore,carries_zscore,touches_zscore,shots_zscore,shots_on_target_zscore,pass_completion_zscore,league_lsc,lsc_adj_goals_p90,lsc_adj_assists_p90,lsc_adj_xg_p90,lsc_adj_xag_p90,lsc_adj_npxg_p90,lsc_adj_shots_p90,lsc_adj_shots_on_target_p90,lsc_adj_prog_carries_p90,lsc_adj_prog_passes_p90,lsc_adj_prog_receptions_p90,lsc_adj_key_passes_p90,lsc_adj_xa_p90,lsc_adj_carries_p90,lsc_adj_touches_p90,lsc_adj_tackles_won_p90,lsc_adj_interceptions_p90,lsc_adj_clearances_p90,team_strength_ratio,poss_adj_touches_p90,pos_gk,pos_df,pos_mf,pos_fw,position_primary,age_curve_score,play_style_progressive,play_style_direct_carry,play_style_defensive,shots_p90_pct,shots_on_target_p90_pct,goals_p90_pct,assists_p90_pct,xg_p90_pct,xag_p90_pct,npxg_p90_pct,prog_carries_p90_pct,prog_passes_p90_pct,prog_receptions_p90_pct,key_passes_p90_pct,xa_p90_pct,tackles_won_p90_pct,interceptions_p90_pct,clearances_p90_pct,carries_p90_pct,touches_p90_pct,poss_adj_touches_p90_pct
Tyler Adams,Bournemouth,Premier League,MF,25.0,1965,0,3,1.6,1.0,1.6,0.41,0.09,14,76,10,18,0.8,84.4,50,32,42,663,1337,0.0,0.13740458015267176,0.0732824427480916,0.04580152671755725,0.0732824427480916,0.6412213740458016,3.480916030534351,0.45801526717557256,0.8244274809160306,0.0366412213740458,2.2900763358778624,1.465648854961832,1.9236641221374047,30.36641221374046,61.23664122137405,-0.7900177606680123,0.4154933376286421,-0.4038143436930585,-0.6039595922950621,-0.38559870154123055,-0.723171497239527,0.06669348646371835,-0.9173900764646902,-0.10417472310087328,-0.6805365026881541,2.3622976088586043,1.5679990517056295,-0.12226730633438393,-0.022910947572065382,0.44583967303298955,-0.8117049333986124,-0.7860930439689345,0.5811562107364461,1.0,0.0,0.13740458015267176,0.0732824427480916,0.04580152671755725,0.0732824427480916,0.41,0.09,0.6412213740458016,3.480916030534351,0.45801526717557256,0.8244274809160306,0.0366412213740458,30.36641221374046,61.23664122137405,2.2900763358778624,1.465648854961832,1.9236641221374047,1.1919330054745052,64.0223179953286,0,0,1,0,MF,1.0,0.05684367987940083,0.02111613876250221,1.8778625954198471,0.22086720867208673,0.23577235772357724,0.17615176151761516,0.7262872628726287,0.5094850948509485,0.3604336043360434,0.5121951219512195,0.25203252032520324,0.5555555555555556,0.2682926829268293,0.5501355013550135,0.3008130081300813,0.986449864498645,0.9322493224932249,0.5691056910569106,0.5718157181571816,0.6883468834688347,0.7533875338753387
Junior Adamu,Freiburg,Bundesliga,FW,23.0,1545,2,2,5.5,2.4,5.5,2.1,0.64,8,14,84,17,1.9,63.5,3,12,20,275,534,0.11650485436893204,0.11650485436893204,0.32038834951456313,0.13980582524271842,0.32038834951456313,0.46601941747572817,0.8155339805825242,4.893203883495145,0.9902912621359222,0.11067961165048544,0.17475728155339806,0.6990291262135923,1.1650485436893205,16.019417475728154,31.106796116504853,-0.1457793119870245,0.15085030190489884,1.1553573453793142,0.48605477336403047,1.3415396984447008,-0.8415512957241146,-1.3589234361514937,0.41061963559983844,0.12986115641605114,0.0056383376009446285,-1.4234836228727101,-0.14329338068018171,-0.6472820786312365,-1.3360539561766458,-1.492065527282493,0.907347799917103,0.5486769351699087,-1.6554544164350908,0.88,0.1025242718446602,0.1025242718446602,0.28194174757281554,0.12302912621359222,0.28194174757281554,1.848,0.5632,0.4100970873786408,0.7176699029126213,4.306019417475728,0.8714563106796116,0.09739805825242719,14.097087378640776,27.373980582524272,0.19858781994704328,0.7943512797881731,1.3239187996469552,0.8014920759123395,31.670647838828117,0,0,0,1,FW,0.8184875533567997,0.026217228463576662,0.029090909089093116,0.4368932038834952,0.7893939393939394,0.7484848484848485,0.6151515151515151,0.6575757575757576,0.8727272727272727,0.7393939393939394,0.9,0.21515151515151515,0.08181818181818182,0.6393939393939394,0.5969696969696969,0.6,0.10606060606060606,0.4909090909090909,0.3515151515151515,0.03636363636363636,0.030303030303030304,0.03939393939393939
Tosin Adarabioyo,Chelsea,Premier League,DF,26.0,1409,1,1,0.9,0.2,0.9,0.83,0.13,5,42,1,1,0.2,91.1,13,11,80,777,1330,0.063875088715401,0.063875088715401,0.057487579843860895,0.0127750177430802,0.057487579843860895,0.3193754435770049,2.6827537260468417,0.063875088715401,0.063875088715401,0.0127750177430802,0.830376153300213,0.7026259758694109,5.110007097232079,49.630943931866575,84.95386799148332,-0.401229832075993,-0.2838019039068222,-0.5120244187385219,-0.9902454051958225,-0.5027798552600622,-0.9382020930035496,-0.36155950014708393,-1.0400333350441613,-1.2289920905065943,-1.007855557622888,-0.2107758351802057,-0.02060819748547543,1.716055485679238,1.8900188955794868,1.981895903727884,-0.3762518869860783,-0.685914030594893,1.4048634284190196,1.0,0.063875088715401,0.063875088715401,0.057487579843860895,0.0127750177430802,0.057487579843860895,0.83,0.13,0.3193754435770049,2.6827537260468417,0.063875088715401,0.063875088715401,0.0127750177430802,49.630943931866575,84.95386799148332,0.830376153300213,0.7026259758694109,5.110007097232079,1.2435809489172187,80.43118761064991,0,1,0,0,DF,1.0,0.03157894736804933,0.006435006434876777,0.7665010645848119,0.47560975609756095,0.31842818428184283,0.494579945799458,0.494579945799458,0.4173441734417344,0.14634146341463414,0.42005420054200543,0.13550135501355012,0.34688346883468835,0.0975609756097561,0.07859078590785908,0.12466124661246612,0.45799457994579945,0.5121951219512195,0.9214092140921409,0.9566395663956639,0.975609756097561,0.9701897018970189
Karim Adeyemi,Dortmund,Bundesliga,"FW,MF",22.0,1433,7,6,5.5,6.0,5.5,2.89,1.13,68,28,153,28,4.1,74.3,14,7,5,417,636,0.4396371249127704,0.3768318213538032,0.3454291695743196,0.3768318213538032,0.3454291695743196,4.27076064200977,1.7585484996510816,9.609211444521982,1.7585484996510816,0.2575017445917655,0.8792742498255408,0.4396371249127704,0.314026517794836,26.189811584089323,39.944173063503136,1.5845026225719232,2.5062074276683277,1.3149566772294206,3.2628501207277028,1.518179681003193,2.4787113099968963,-0.8606637774766124,1.9108593841446706,1.2670952317769348,1.711989300198899,0.026135387363898126,-0.625481198724357,-1.0906417273803,-0.3776200944505434,-0.9655888369074711,1.7111317254272758,1.7255049019688766,-0.35456815719121826,0.88,0.38688066992323794,0.33161200279134684,0.3039776692254012,0.33161200279134684,0.3039776692254012,2.5432,0.9944,3.7582693649685974,1.5475226796929518,8.456106071179343,1.5475226796929518,0.22660153524075363,23.047034193998606,35.15087229588276,0.9991752838926601,0.49958764194633004,0.35684831567595,1.2441796019930424,37.742301848171095,0,0,1,1,FW,0.649519052838329,0.04402515723160224,0.16306954435828194,0.6594556873691556,0.9363636363636364,0.9181818181818182,0.9151515151515152,0.9757575757575757,0.8909090909090909,0.9939393939393939,0.9181818181818182,0.9666666666666667,0.15454545454545454,0.9696969696969697,0.8787878787878788,0.9242424242424242,0.48787878787878786,0.3303030303030303,0.045454545454545456,0.4212121212121212,0.16666666666666666,0.11818181818181818
Simon Adingra,Brighton,Premier League,"FW,MF",22.0,1097,2,2,2.5,2.5,2.5,2.71,0.66,50,18,136,16,2.8,75.9,14,8,6,366,548,0.1640838650865998,0.1640838650865998,0.20510483135824975,0.20510483135824975,0.20510483135824975,4.102096627164995,1.4767547857793983,11.157702825888787,1.3126709206927984,0.22971741112123972,1.1485870556061988,0.6563354603463992,0.4922515952597995,30.027347310847766,44.958979033728355,0.20871002672698333,0.6692241419247799,0.4992964114092635,1.2592893081098508,0.5923838030851909,1.5890965698421333,-1.0086367238085248,2.4119953039080935,0.6179118894910253,1.9674554836223197,0.35014758738270463,-0.11698466343905069,-0.9481037883140828,-0.05657942085753017,-0.6083900084908028,1.572918892193836,0.6414578966111552,-0.4638454833384622,1.0,0.1640838650865998,0.1640838650865998,0.20510483135824975,0.20510483135824975,0.20510483135824975,2.71,0.66,4.102096627164995,1.4767547857793983,11.157702825888787,1.3126709206927984,0.22971741112123972,30.027347310847766,44.958979033728355,1.1485870556061988,0.6563354603463992,0.4922515952597995,1.0757813935001237,44.57734086199594,0,0,1,1,FW,0.649519052838329,0.03284671532773656,0.1366120218533739,0.902461257976299,0.9051490514905149,0.7615176151761518,0.7127371273712737,0.7859078590785907,0.7696476964769647,0.8644986449864499,0.7804878048780488,0.9322493224932249,0.13279132791327913,0.9701897018970189,0.7262872628726287,0.9512195121951219,0.6747967479674797,0.4878048780487805,0.11788617886178862,0.5609756097560976,0.3143631436314363,0.2899728997289973
Amine Adli,Leverkusen,Bundesliga,"MF,FW",24.0,766,2,0,2.7,0.7,2.7,2.35,0.82,37,24,100,11,1.9,74.2,9,0,4,248,468,0.2349869451697128,0.0,0.3172323759791123,0.08224543080939947,0.3172323759791123,4.347258485639687,2.8198433420365534,11.74934725848564,1.2924281984334205,0.22323759791122716,1.0574412532637076,0.0,0.4699738903394256,29.138381201044385,54.9869451697128,0.4886587803035785,-0.9032492487568731,1.135242538180805,-0.18827394195523864,1.319277204288089,2.5454682626077303,-0.2999084601112884,2.591671866704292,0.5771077329585541,1.3137750902587857,0.3927330518804622,-1.442729475193211,-1.0093973292202914,-0.09975387467217628,-0.069432780643178,1.1617098016608285,0.9809810862389172,-0.3666134003323645,0.88,0.20678851174934726,0.0,0.2791644908616188,0.07237597911227153,0.2791644908616188,2.068,0.7215999999999999,3.8255874673629244,2.481462140992167,10.339425587467364,1.13733681462141,0.1964490861618799,25.64177545691906,48.38851174934726,1.2016377877996678,0.0,0.5340612390220746,1.312950146058434,51.9539912858918,0,0,1,1,MF,1.0,0.05128205128111866,0.1491935483819766,0.5287206266318538,0.8484848484848485,0.8257575757575758,0.7878787878787878,0.1712121212121212,0.8666666666666667,0.5060606060606061,0.8939393939393939,0.9696969696969697,0.4212121212121212,0.9878787878787879,0.7515151515151515,0.8818181818181818,0.6424242424242425,0.04242424242424243,0.09696969696969697,0.5666666666666667,0.503030303030303,0.44545454545454544
Oladapo Afolayan,St. Pauli,Bundesliga,"FW,MF",26.0,1639,3,1,3.1,3.8,3.1,2.09,0.71,53,32,108,21,3.6,69.4,8,8,20,495,741,0.16473459426479561,0.05491153142159853,0.17022574740695545,0.20866381940207443,0.17022574740695545,2.9103111653447225,1.757169005491153,5.930445393532642,1.1531421598535694,0.19768151311775473,0.43929225137278827,0.43929225137278827,1.0982306284319707,27.181208053691275,40.68944478340451,0.1124773069196536,-0.40642685529365236,0.19828601512509877,1.2927365759832021,0.2822804827349888,1.2914953450275914,-0.8613926594560212,0.7405832588685206,0.3709257127183455,1.0167650345268135,-0.8791746304817338,-0.6261222895016795,-0.6820924202407924,-0.28419323834856935,-0.921190120990182,0.8971733198473538,0.7167952161411897,-0.9447850711074188,0.88,0.14496644295302014,0.04832214765100671,0.1497986577181208,0.1836241610738255,0.1497986577181208,1.8392,0.6248,2.561073825503356,1.5463087248322147,5.218791946308725,1.0147651006711411,0.17395973154362415,23.91946308724832,35.80671140939597,0.4991957401963503,0.4991957401963503,1.247989350490876,0.8078034270972644,41.926405719809246,0,0,1,1,FW,1.0,0.04318488528908713,0.10707070706676793,0.43929225137278827,0.7833333333333333,0.7712121212121212,0.7,0.43636363636363634,0.7151515151515152,0.8939393939393939,0.7303030303030303,0.8848484848484849,0.15151515151515152,0.7636363636363637,0.6848484848484848,0.8484848484848485,0.21515151515151515,0.32727272727272727,0.3242424242424242,0.47878787878787876,0.18787878787878787,0.22121212121212122
Emmanuel Agbadou,Wolves,Premier League,DF,27.0,1410,1,0,0.8,0.2,0.8,0.45,0.13,6,31,2,4,0.3,85.4,19,12,90,758,1172,0.06382978723404256,0.0,0.05106382978723404,0.01276595744680851,0.05106382978723404,0.3829787234042553,1.9787234042553192,0.12765957446808512,0.25531914893617025,0.019148936170212766,1.2127659574468086,0.7659574468085106,5.744680851063829,48.38297872340426,74.80851063829788,-0.4015055681955618,-0.891279865718134,-0.5560333145368326,-0.9903513765509279,-0.5504372770054147,-0.8957076885104485,-0.7393060891260952,-1.0201857335890472,-0.9458562986383826,-0.9204388495422946,0.4632783727074246,0.11124739504336065,2.0822229812317476,1.7660984221720681,1.3248275404643082,-0.7702332146926567,-0.685914030594893,0.7040975865099648,1.0,0.06382978723404256,0.0,0.05106382978723404,0.01276595744680851,0.05106382978723404,0.45,0.13,0.3829787234042553,1.9787234042553192,0.12765957446808512,0.25531914893617025,0.019148936170212766,48.38297872340426,74.80851063829788,1.2127659574468086,0.7659574468085106,5.744680851063829,0.8680708584592879,76.27117487950345,0,1,0,0,DF,1.0,0.026450511945038915,0.007915567282158297,0.9893617021276596,0.2588075880758808,0.31842818428184283,0.4905149051490515,0.17344173441734417,0.38482384823848237,0.14363143631436315,0.3875338753387534,0.15989159891598917,0.2222222222222222,0.13821138211382114,0.2005420054200542,0.17886178861788618,0.7018970189701897,0.5663956639566395,0.9539295392953929,0.9539295392953929,0.8915989159891599,0.9295392953929539
Felix Agu,Werder Bremen,Bundesliga,DF,24.0,1751,3,0,1.4,1.8,1.4,0.46,0.21,33,43,105,20,2.5,79.7,14,21,48,545,1045,0.15419760137064534,0.0,0.07195888063963449,0.09251856082238721,0.07195888063963449,1.696173615077099,2.2101656196459163,5.396916047972587,1.0279840091376355,0.12849800114220444,0.7195888063963449,1.0793832095945175,2.4671616219303254,28.012564249000572,53.71216447744147,0.05605468958515018,-0.9032492487568731,-0.4280243949030774,-0.06792267209048816,-0.410901992536793,0.23196060443587013,-0.6220432817045848,0.5708587788148826,0.18565689017698345,0.2127217347158736,-0.3024344908332824,0.5637527295695548,0.031083908892653635,-0.20584819879054936,-0.14537639194844765,-0.7612669315217364,-0.48404964793939015,0.29587497243071886,0.88,0.1356938892061679,0.0,0.06332381496287835,0.08141633352370074,0.06332381496287835,0.4048,0.1848,1.492632781267847,1.9449457452884062,4.749286122215876,0.9046259280411193,0.11307824100513991,24.651056539120503,47.26670474014849,0.8177145527231193,1.226571829084679,2.803592752193552,1.049927410069634,53.17126969580102,0,1,0,0,DF,1.0,0.041148325358085575,0.060550458713434785,0.8994860079954312,0.23030303030303031,0.4318181818181818,0.6818181818181818,0.1712121212121212,0.49393939393939396,0.5454545454545454,0.503030303030303,0.6575757575757576,0.2545454545454545,0.6909090909090909,0.6272727272727273,0.6666666666666666,0.36666666666666664,0.7090909090909091,0.6060606060606061,0.5333333333333333,0.4696969696969697,0.4666666666666667
Ola Aina,Nott'ham Forest,Premier League,DF,27.0,2995,2,1,0.6,1.4,0.6,0.33,0.06,67,107,67,16,2.2,73.5,42,33,115,749,1708,0.06010016694490818,0.03005008347245409,0.018030050083472453,0.04207011686143572,0.018030050083472453,2.013355592654424,3.2153589315525877,2.013355592654424,0.48080133555926546,0.066110183639399,1.2621035058430718,0.991652754590985,3.4557595993322203,22.50751252086811,51.32554257095158,-0.42420661450029595,-0.6054914022149158,-0.7823466293438817,-0.6476030391592682,-0.795512934885526,0.19357409611269144,-0.07579084299564208,-0.43342011820767534,-0.6123798910231,-0.2763770046904208,0.5502476949611412,0.5811431371974148,0.7616570098119441,-0.8032841212778632,-0.1960568261900961,-0.8946483708105235,-0.8612273039994655,-0.7589047851949076,1.0,0.06010016694490818,0.03005008347245409,0.018030050083472453,0.04207011686143572,0.018030050083472453,0.33,0.06,2.013355592654424,3.2153589315525877,2.013355592654424,0.48080133555926546,0.066110183639399,22.50751252086811,51.32554257095158,1.2621035058430718,0.991652754590985,3.4557595993322203,0.8197912513989281,55.38994223988698,0,1,0,0,DF,1.0,0.06264637002219864,0.08945260346732072,1.1268781302170283,0.16666666666666666,0.17750677506775067,0.4715447154471545,0.3712737127371274,0.15718157181571815,0.34146341463414637,0.15718157181571815,0.6585365853658537,0.5013550135501355,0.42276422764227645,0.3252032520325203,0.4932249322493225,0.7208672086720868,0.7289972899728997,0.7940379403794038,0.2140921409214092,0.43089430894308944,0.4905149051490515
Rayan Aït-Nouri,Wolves,Premier League,DF,23.0,3109,4,7,2.7,5.5,2.7,1.04,0.29,89,108,176,46,4.0,84.2,57,26,75,1129,2148,0.11579285944033452,0.20263750402058542,0.0781601801222258,0.15921518173045995,0.0781601801222258,2.576391122547443,3.1264072048890315,5.0948858153747185,1.331617883563847,0.11579285944033452,1.6500482470247668,0.7526535863621743,2.171116114506272,32.68253457703442,62.180765519459634,-0.08522240346485353,1.0358848616363108,-0.3703971288360848,0.7225531782360897,-0.3494110564502808,0.569747457238803,-0.12351778072958491,0.5254491587131263,0.645933460543194,0.40500855378572787,1.2340938184345336,0.0835488689226035,0.020497186081048432,0.20707541565559362,0.5069862828234951,-0.1585253637798112,-0.28519797709872763,0.556567935581742,1.0,0.11579285944033452,0.20263750402058542,0.0781601801222258,0.15921518173045995,0.0781601801222258,1.04,0.29,2.576391122547443,3.1264072048890315,5.0948858153747185,1.331617883563847,0.11579285944033452,32.68253457703442,62.180765519459634,1.6500482470247668,0.7526535863621743,2.171116114506272,0.8680708584592879,63.39653069697863,0,1,0,0,DF,0.8184875533567997,0.05027932960812995,0.07883082373540908,1.2013509166934706,0.5365853658536586,0.524390243902439,0.6314363143631436,0.8536585365853658,0.5284552845528455,0.7588075880758808,0.5338753387533876,0.7831978319783198,0.4715447154471545,0.7398373983739838,0.7317073170731707,0.7073170731707317,0.8726287262872628,0.5501355013550135,0.6070460704607046,0.6422764227642277,0.7018970189701897,0.7262872628726287
